artwork_id,artist_id
243169,32803.0
26039,
70659,37022.0
9269,29992.0
247983,44312.0
45517,109930.0
73976,15992.0
227382,113992.0
396,2601.0
155512,832.0
128022,21775.0
208992,117550.0
97262,34672.0
136196,37541.0
77036,
21656,36095.0
212166,35805.0
131653,14488.0
268393,36253.0
225215,35298.0
130941,7866.0
16525,35592.0
40345,34342.0
247829,
22979,36845.0
150340,34946.0
106520,
47480,36041.0
42378,
193674,33992.0
55844,
125240,19552.0
32580,57917.0
230914,114577.0
63425,34505.0
35245,
250315,117316.0
145841,43063.0
83671,35670.0
48775,21488.0
232929,
49867,36875.0
53093,34581.0
98197,36445.0
231606,
143096,50215.0
188192,61425.0
54756,2104.0
159862,36693.0
29266,15789.0
126895,23348.0
67935,37541.0
202865,110687.0
117331,33510.0
249134,60143.0
51554,36788.0
262264,35235.0
65908,34853.0
200858,112929.0
120042,48117.0
196476,2601.0
228427,35595.0
86473,35013.0
30047,18858.0
199783,56272.0
13727,34437.0
152687,15565.0
220017,10438.0
38477,36148.0
128472,34313.0
155142,
89786,40851.0
103722,51349.0
88894,36643.0
59164,34941.0
97798,43575.0
10808,73899.0
149161,3058.0
134451,37541.0
23391,28949.0
12835,
215359,110834.0
70209,
26469,34946.0
268669,22737.0
139849,51349.0
195489,35261.0
82349,28234.0
126745,34621.0
31085,3338.0
124778,34505.0
200788,104625.0
80374,
121080,37275.0
60120,21584.0
147256,35072.0
111436,40482.0
50596,
232303,
127857,43008.0
199853,62934.0
211463,31311.0
152957,40896.0
135493,21009.0
22353,
184762,30569.0
132356,34956.0
25496,34485.0
89856,36624.0
151678,35485.0
226710,113359.0
68510,31706.0
185870,37245.0
95875,38187.0
153645,
198741,55349.0
105025,36239.0
208642,110752.0
21986,
223512,37401.0
46442,41757.0
215973,34621.0
100227,21775.0
131983,
70823,
211199,31311.0
148459,33458.0
269351,81183.0
130691,34946.0
71731,33457.0
27151,
214661,57563.0
184298,35717.0
93558,35833.0
181560,31299.0
19900,35264.0
142054,37541.0
116609,
145791,36516.0
99155,36326.0
52051,36247.0
109905,33741.0
79301,
144883,36169.0
123547,35534.0
65322,28350.0
33542,110752.0
115926,40896.0
256412,116953.0
81836,40922.0
235096,114780.0
111066,33894.0
147606,33551.0
264133,
1989,
232753,
144929,
82719,41534.0
190721,37279.0
233841,2820.0
126315,34604.0
254585,33521.0
146914,35844.0
36310,
60570,71191.0
151228,42567.0
15470,34797.0
133814,40561.0
70989,33690.0
23811,33556.0
105475,36518.0
94337,36782.0
211033,57047.0
22703,35265.0
132706,42973.0
240196,43030.0
9843,2601.0
148009,35161.0
135539,53941.0
74499,
27501,9294.0
71361,
214231,
101965,34672.0
93108,36978.0
11960,34626.0
245394,9089.0
223142,
46012,35185.0
268813,16627.0
156017,34544.0
